id пациента;	Номер карты;	Пол;	Статус пациента;	Фамилия;	Имя;	Отчество;	Документ;	Серия;	Номер документа;	Дата рождения;	Телефон;	Почта;	Связь с другим пациентом;	Дата регистрации;	Страна;	Регион, город, улица, дом;	Место рождения;	Откуда узнал;	Врач, от которого узнал;
294890;	54463;	Ж;	СМ;	Сидорова;	Елизавета;	Максимовна;	паспорт РФ;	7214;	232198;	13.09.1990;	+7 (948) 617 49 23;	qgrvkli@jandex.ru;	Одиночка;	16.10.2023;	Россия;	Ростовская область, Ростов-на-Дону, улица Пушкинская, дом 9;	Москва;	Из газеты;	;
295397;	5364;	М;	СМ;	Соколов;	Макс;	Абрамович;	паспорт РФ;	5150;	048319;	30.05.1977;	+7 (966) 729 18 96;	jaxqhp@tymbler.ru;	Одиночка;	09.06.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 2;	Стерлитамак;	ВК;	;
295381;	395458;	Ж;	ДС;	Новикова;	Анастасия;	Владимировна;	паспорт РФ;	0736;	990058;	18.04.1990;	+7 (976) 476 63 83;	lfodqr@gfail.com;	Не одиночка;	18.03.2023;	Россия;	Республика Хакасия, Абакан, улица Ленина, дом 5;	Стерлитамак;	Знакомые;	;
295558;	70230;	М;	СМ клиники;	Егоров;	Марк;	Павлович;	паспорт РФ;	7293;	212204;	01.01.1980;	+7 (972) 438 10 78;	pckgj@jandex.ru;	Одиночка;	20.06.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Стерлитамак;	Телеграм;	;
295163;	41907;	Ж;	СМ клиники;	Андреева;	Иванна;	Викторовна;	паспорт РФ;	2692;	881760;	29.12.1980;	+7 (984) 631 25 28;	lwgd@jandex.ru;	Не одиночка;	27.03.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 2;	Екатеринбург;	Телеграм;	;
295572;	62876;	М;	ОМС;	Иванов;	Максим;	Артемович;	паспорт РФ;	4516;	866212;	21.02.1988;	+7 (926) 902 44 59;	cfry@fail.com;	Не одиночка;	18.05.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 2;	Казань;	из интернета;	;
294703;	2662;	М;	ДС;	Егоров;	Иван;	Игоревич;	паспорт РФ;	5574;	864874;	05.07.1996;	+7 (917) 490 06 71;	bbgh@gfail.com;	Не одиночка;	18.08.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 2;	Москва;	От врача;	Иванов В.В.;
294089;	92262;	Ж;	СМ;	Григорьева;	Ольга;	Сергеевна;	паспорт РФ;	7681;	784924;	20.12.1979;	+7 (976) 717 13 74;	mvhfbu@fail.com;	Одиночка;	11.02.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 34;	Стерлитамак;	Из газеты;	;
294634;	21777;	М;	ОМС;	Ковалев;	Владислав;	Андреевич;	паспорт РФ;	7462;	273557;	27.03.1983;	+7 (989) 657 54 77;	zuholsum@jandex.ru;	Не одиночка;	15.05.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 78;	Мурманск;	Знакомые;	;
295362;	15659;	М;	ОМС;	Миронов;	Глеб;	Павлович;	паспорт РФ;	3089;	751966;	07.04.1996;	+7 (905) 021 10 93;	oszj@tymbler.ru;	Одиночка;	07.07.2023;	Россия;	Москва, Москва, улица Ленина, дом 1;	Ленинградская область;	Новости;	;
294848;	262183;	М;	СМ клиники;	Никитин;	Владимир;	Павлович;	паспорт РФ;	0735;	982496;	15.12.1981;	+7 (983) 544 75 44;	afapul@gfail.com;	Одиночка;	25.07.2023;	Россия;	Москва, Москва, улица Ленина, дом 1;	Казань;	От врача;	Тверд И.И.;
294258;	889994;	М;	СМ клиники;	Ковалев;	Марк;	Абрамович;	паспорт РФ;	4194;	752772;	22.09.1985;	+7 (939) 785 29 49;	yxhrjn@gfail.com;	Одиночка;	15.03.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 2а;	Киев;	из интернета;	;
295953;	2582;	М;	СМ клиники;	Никитин;	Артем;	Моисеевич;	паспорт РФ;	4623;	716198;	22.09.1985;	+7 (939) 558 35 30;	yrxxab@jandex.ru;	Не одиночка;	25.08.2023;	Россия;	Красноярский край, Красноярск, улица Карла Маркса, дом 33;	Казань;	из интернета;	;
295054;	9404;	М;	СМ;	Павлов;	Николай;	Петрович;	паспорт РФ;	7840;	509703;	28.05.1987;	+7 (940) 255 07 83;	eybjf@tymbler.ru;	Одиночка;	15.06.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 21;	Москва;	Телеграм;	;
294627;	145792;	Ж;	СМ;	Иванова;	Арина;	Алексеевна;	паспорт РФ;	6492;	524608;	27.03.1983;	+7 (972) 882 31 96;	niukydx@fail.com;	Не одиночка;	22.11.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 78;	Киев;	Новости;	;
294642;	76956;	Ж;	СМ;	Козлова;	Валентина;	Данииловна;	паспорт РФ;	0347;	884509;	05.07.1987;	+7 (956) 723 67 56;	beqfyc@jandex.ru;	Одиночка;	06.10.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 2;	Киев;	Телевизор;	;
295508;	7338;	М;	Коммерческий;	Сидоров;	Артем;	Моисеевич;	паспорт РФ;	7448;	852193;	18.04.1990;	+7 (923) 586 17 40;	ooypoth@jandex.ru;	Одиночка;	14.09.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 7;	Ленинградская область;	От врача;	Пальцев М.В.;
295493;	4758;	М;	СМ клиники;	Кузнецов;	Глеб;	Петрович;	паспорт РФ;	0364;	583506;	30.05.1977;	+7 (945) 079 90 16;	uwpc@tymbler.ru;	Одиночка;	18.05.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 1;	Мурманск;	Телевизор;	;
294629;	96688;	М;	СМ клиники;	Павлов;	Николай;	Мордехаевич;	паспорт РФ;	5934;	536663;	15.12.1981;	+7 (914) 538 88 69;	xhikl@gfail.com;	Не одиночка;	18.03.2023;	Россия;	Красноярский край, Красноярск, улица Карла Маркса, дом 6;	Севастопль;	ВК;	;
295022;	801465;	М;	Иностранец;	Алонсо;	C?sar (Цезарь);	;	Иностранный документ;	;	41561046;	30.08.1994;	+7 (949) 691 17 50;	tmtvz@jandex.ru;	Не одиночка;	11.02.2023;	Китай;	Иерусалим;	Иерусалим;	Телеграм;	;
295214;	15479;	М;	ДС;	Егоров;	Артем;	Александрович;	паспорт РФ;	5485;	769925;	09.02.1997;	+7 (913) 638 55 39;	hwaywi@jandex.ru;	Одиночка;	07.07.2023;	Россия;	Москва, Москва, улица Тверская, дом 3;	Казань;	Из газеты;	;
294550;	8967;	Ж;	ДС;	Тимофеева;	Виктория;	Сергеевна;	паспорт РФ;	1908;	707615;	18.04.1996;	+7 (955) 775 06 25;	lrlhdb@fail.com;	Одиночка;	03.04.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Стерлитамак;	Из газеты;	;
294388;	2180;	М;	ДС;	Михайлов;	Андрей;	Васильевич;	паспорт РФ;	4459;	737854;	28.09.1990;	+7 (980) 710 49 88;	lsituf@jandex.ru;	Не одиночка;	10.01.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 2;	село Дубки;	из интернета;	;
295660;	9101;	Ж;	СМ;	Никитина;	Ирина;	Васильевна;	паспорт РФ;	2019;	390781;	25.09.1984;	+7 (902) 248 13 12;	yxmm@jandex.ru;	Одиночка;	22.03.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Казань;	Из газеты;	;
295099;	3737;	Ж;	ОМС;	Петрова;	Алена;	Викторовна;	паспорт РФ;	8958;	280092;	17.11.1990;	+7 (953) 487 89 82;	ogptq@gfail.com;	Не одиночка;	22.11.2023;	Россия;	Санкт-Петербург, Санкт-Петербург, улица Герцена, дом 15;	СССР;	Из газеты;	;
294859;	11633;	М;	Коммерческий;	Сидоров;	Максим;	Моисеевич;	паспорт РФ;	1116;	653119;	17.06.1987;	+7 (922) 387 80 17;	aaamnf@gfail.com;	Одиночка;	23.04.2023;	Россия;	Москва, Москва, улица Ленина, дом 3;	Дмитровград;	Телеграм;	;
295259;	95194;	Ж;	Коммерческий;	Петрова;	Мария;	Владимировна;	паспорт РФ;	7246;	750625;	09.01.1983;	+7 (949) 512 50 20;	kaawdyo@gfail.com;	Одиночка;	07.05.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 21;	СССР;	ВК;	;
295833;	655488;	Ж;	Иностранец;	Vega (Вега);	Калудия;	;	Иностранный документ;	;	53232191;	17.11.1990;	+7 (935) 217 44 73;	imkdk@tymbler.ru;	Одиночка;	22.11.2023;	Германия;	Пекин;	Пекин;	От врача;	Конев А.Г.;
294352;	70206;	Ж;	Иностранец;	Cruz (Крус);	Джоса;	;	Иностранный документ;	;	9314950;	30.05.1977;	+7 (981) 875 84 18;	eswu@tymbler.ru;	Одиночка;	04.07.2023;	Германия;	Германия;	Германия;	Знакомые;	;
295768;	5296;	Ж;	СМ;	Новикова;	Екатерина;	Ивановна;	паспорт РФ;	2927;	121668;	28.03.1993;	+7 (916) 023 08 20;	giobx@gfail.com;	Одиночка;	17.02.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 2;	СССР;	ВК;	;
294883;	52039;	М;	СМ клиники;	Смирнов;	Петр;	Абрамович;	паспорт РФ;	4059;	250291;	17.11.1990;	+7 (971) 762 61 58;	vnmoq@tymbler.ru;	Одиночка;	24.09.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 21;	Ленинградская область;	из интернета;	;
294417;	9766;	М;	Коммерческий;	Андреев;	Виктор;	Мордехаевич;	паспорт РФ;	3220;	518064;	15.12.1981;	+7 (932) 310 75 22;	beduyzi@tymbler.ru;	Одиночка;	19.04.2023;	Россия;	Ростовская область, Ростов-на-Дону, улица Пушкинская, дом 9;	Ленинградская область;	Из газеты;	;
295455;	92426;	Ж;	СМ;	Михайлова;	Алиса;	Артемовна;	паспорт РФ;	2618;	977057;	21.02.1988;	+7 (963) 230 99 50;	kxumkab@tymbler.ru;	Одиночка;	18.10.2023;	Россия;	Красноярский край, Красноярск, улица Карла Маркса, дом 33;	Стерлитамак;	Телевизор;	;
295579;	72734;	М;	ДС;	Новиков;	Александр;	Артемович;	паспорт РФ;	7073;	512436;	10.10.1981;	+7 (950) 641 49 34;	eedsjb@tymbler.ru;	Не одиночка;	22.11.2023;	Россия;	Москва, Москва, улица Тверская, дом 3;	село Дубки;	ВК;	;
294307;	41884;	М;	А/ДЯ;	Егоров;	Максим;	Сергеевич;	паспорт РФ;	5782;	091488;	10.08.1979;	+7 (937) 583 98 98;	ujpwsv@gfail.com;	Одиночка;	26.01.2023;	Россия;	Красноярский край, Красноярск, улица Карла Маркса, дом 6;	Екатеринбург;	из интернета;	;
295542;	46087;	Ж;	СМ клиники;	Козлова;	Психея;	Максимовна;	паспорт РФ;	9582;	902213;	18.04.1978;	+7 (919) 041 19 12;	pcfqwu@gfail.com;	Одиночка;	01.02.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 1;	Дмитровград;	Новости;	;
294177;	78452;	М;	СМ клиники;	Кузнецов;	Даниил;	Дмитриевич;	паспорт РФ;	8338;	042273;	07.04.1996;	+7 (928) 357 61 54;	lkwhjtqc@tymbler.ru;	Не одиночка;	05.06.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 34;	Стерлитамак;	Телеграм;	;
294899;	2489;	Ж;	Коммерческий;	Миронова;	Алена;	Владимировна;	паспорт РФ;	7602;	418546;	16.12.1992;	+7 (928) 882 37 87;	itknmhrq@fail.com;	Одиночка;	27.05.2023;	Россия;	Ростовская область, Ростов-на-Дону, улица Пушкинская, дом 80;	Киев;	Новости;	;
294038;	59542;	М;	Коммерческий;	Смирнов;	Виктор;	Абрамович;	паспорт РФ;	4687;	126948;	25.09.1984;	+7 (956) 128 27 73;	kkowlfl@jandex.ru;	Не одиночка;	19.08.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 2;	Мурманск;	Телеграм;	;
294683;	89023;	Ж;	СМ клиники;	Андреева;	Алена;	Викторовна;	паспорт РФ;	3358;	155624;	15.12.1981;	+7 (995) 367 41 34;	mzjul@tymbler.ru;	Одиночка;	15.10.2023;	Россия;	Республика Башкортостан, Уфа, улица Ленина, дом 2;	Екатеринбург;	Знакомые;	;
295218;	5488;	Ж;	ОМС;	Подошва;	Ева;	Александровна;	паспорт РФ;	4535;	949314;	14.05.1993;	+7 (980) 389 95 92;	zczbf@tymbler.ru;	Не одиночка;	29.09.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 7;	Екатеринбург;	Новости;	;
294671;	74095;	М;	СМ клиники;	Павлов;	Антон;	Дмитриевич;	паспорт РФ;	2867;	048244;	10.10.1981;	+7 (963) 713 86 34;	fwvd@tymbler.ru;	Одиночка;	04.07.2023;	Россия;	Республика Хакасия, Абакан, улица Ленина, дом 53;	СССР;	ВК;	;
294562;	562821;	Ж;	СМ;	Григорьева;	Алиса;	Данииловна;	паспорт РФ;	9416;	824988;	11.11.1991;	+7 (911) 988 49 70;	axwzamsv@fail.com;	Одиночка;	19.04.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 34;	Екатеринбург;	Телевизор;	;
295694;	935293;	Ж;	Коммерческий;	Павлова;	Мария;	Артемовна;	паспорт РФ;	9968;	530762;	29.12.1980;	+7 (948) 286 23 10;	jbjjdr@gfail.com;	Не одиночка;	18.04.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 34;	Киев;	Из газеты;	;
295641;	2902;	М;	ОМС;	Никитин;	Глеб;	Сергеевич;	паспорт РФ;	6982;	978517;	18.04.1996;	+7 (959) 109 51 44;	fsds@fail.com;	Не одиночка;	09.10.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 2а;	Киев;	От врача;	Палкин Р.А.;
294104;	885658;	М;	Иностранец;	Ромеро;	Амадо;	;	Иностранный документ;	;	24885277;	01.03.1979;	+7 (970) 159 51 21;	znmm@gfail.com;	Не одиночка;	11.02.2023;	Израиль;	Израиль;	Израиль;	От врача;	Палкин Р.А.;
295589;	5174;	М;	Коммерческий;	Григорьев;	Макс;	Игоревич;	паспорт РФ;	6366;	843822;	25.12.1983;	+7 (999) 102 36 97;	uljaf@jandex.ru;	Не одиночка;	04.04.2023;	Россия;	Красноярский край, Красноярск, улица Карла Маркса, дом 33;	Мурманск;	из интернета;	;
295365;	61102;	Ж;	СМ;	Миронова;	Алиса;	Ивановна;	паспорт РФ;	2069;	598495;	15.10.1991;	+7 (907) 465 44 94;	inisyq@fail.com;	Одиночка;	10.04.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 1;	Дмитровград;	ВК;	;
294451;	163901;	М;	СМ;	Тимофеев;	Степан;	Алексеевич;	паспорт РФ;	9990;	877614;	18.04.1990;	+7 (968) 368 29 11;	vkajn@tymbler.ru;	Не одиночка;	25.11.2023;	Россия;	Ростовская область, Ростов-на-Дону, улица Пушкинская, дом 80;	село Дубки;	ВК;	;
294884;	5736;	Ж;	ОМС;	Петрова;	Мария;	Владимировна;	паспорт РФ;	7554;	807934;	22.10.1980;	+7 (971) 649 30 97;	nfhgu@tymbler.ru;	Одиночка;	11.07.2023;	Россия;	Республика Хакасия, Абакан, улица Ленина, дом 53;	Москва;	Новости;	;
295833;	1009;	М;	СМ клиники;	Ковалев;	Степан;	Андреевич;	паспорт РФ;	9397;	697971;	26.07.1989;	+7 (957) 593 55 99;	ehmkqi@jandex.ru;	Не одиночка;	12.01.2023;	Россия;	Москва, Москва, улица Тверская, дом 3;	Киев;	От врача;	Иванов В.В.;
295584;	4049;	Ж;	СМ;	Сидорова;	Елизавета;	Петровна;	паспорт РФ;	9180;	563946;	12.01.1999;	+7 (931) 511 90 27;	qsnzlb@tymbler.ru;	Одиночка;	12.01.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	село Дубки;	Телевизор;	;
294162;	546018;	М;	ОМС;	Штирлиц;	Андрей;	Андреевич;	паспорт РФ;	1602;	748680;	01.03.1979;	+7 (945) 960 90 60;	upuvkg@gfail.com;	Не одиночка;	02.04.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 78;	Дмитровград;	От врача;	Швецов П.Р;
294585;	966129;	Ж;	ОМС;	Кузнецова;	Валентина;	Артемовна;	паспорт РФ;	3592;	107650;	15.05.1992;	+7 (969) 325 80 57;	bweahw@tymbler.ru;	Не одиночка;	30.09.2023;	Россия;	Санкт-Петербург, Санкт-Петербург, улица Герцена, дом 15;	Москва;	ВК;	;
295660;	6239;	Ж;	СМ;	Миронова;	Александра;	Александровна;	паспорт РФ;	4061;	853667;	09.07.1982;	+7 (953) 075 90 62;	qoaj@jandex.ru;	Не одиночка;	26.04.2023;	Россия;	Республика Хакасия, Абакан, улица Ленина, дом 53;	Казань;	ВК;	;
294588;	93845;	Ж;	ДС;	Смирнова;	Виктория;	Александровна;	паспорт РФ;	5413;	025345;	06.08.1995;	+7 (942) 853 04 74;	ovbpv@tymbler.ru;	Не одиночка;	28.07.2023;	Россия;	Москва, Москва, улица Тверская, дом 3;	Дмитровград;	Из газеты;	;
295277;	30981;	Ж;	Иностранец;	Vega (Вега);	Долорес;	;	Иностранный документ;	;	5173568;	28.09.1990;	+7 (968) 329 46 13;	gvmlff@tymbler.ru;	Не одиночка;	24.08.2023;	США;	США;	США;	Телевизор;	;
295920;	50516;	Ж;	ОМС;	Тимофеева;	Арина;	Викторовна;	паспорт РФ;	2309;	943757;	09.02.1997;	+7 (976) 727 19 86;	ptsa@tymbler.ru;	Не одиночка;	15.03.2023;	Россия;	Санкт-Петербург, Санкт-Петербург, улица Герцена, дом 13;	Ленинградская область;	Новости;	;
295439;	7134;	М;	СМ клиники;	Миронов;	Макс;	Владимирович;	паспорт РФ;	4641;	555934;	29.12.1980;	+7 (968) 037 03 30;	apweudv@tymbler.ru;	Не одиночка;	30.03.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Киев;	Телевизор;	;
295171;	94716;	М;	ОМС;	Новиков;	Денис;	Алексеевич;	паспорт РФ;	2187;	100402;	10.10.1981;	+7 (979) 280 92 17;	kyze@fail.com;	Одиночка;	02.06.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 34;	Екатеринбург;	От врача;	Конев А.Г.;
294086;	99544;	М;	А/ДЯ;	Иванов;	Петр;	Александрович;	паспорт РФ;	9164;	879191;	19.07.1986;	+7 (984) 949 54 87;	ifejf@tymbler.ru;	Не одиночка;	09.06.2023;	Россия;	Ростовская область, Ростов-на-Дону, улица Пушкинская, дом 9;	Киев;	Новости;	;
295618;	3669;	М;	А/ДЯ;	Андреев;	Виктор;	Алексеевич;	паспорт РФ;	9967;	852854;	04.07.1994;	+7 (983) 226 67 28;	nxvlgv@jandex.ru;	Не одиночка;	07.08.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 1;	Ленинградская область;	Телеграм;	;
294618;	906616;	Ж;	Коммерческий;	Иванова;	Арина;	Андреевна;	паспорт РФ;	9682;	995275;	18.04.1996;	+7 (988) 113 62 24;	rcsnixh@gfail.com;	Одиночка;	30.08.2023;	Россия;	Санкт-Петербург, Санкт-Петербург, улица Герцена, дом 13;	Москва;	Новости;	;
295921;	2678;	М;	Иностранец;	Гомес;	C?sar (Цезарь);	;	Иностранный документ;	;	4933276;	21.02.1988;	+7 (948) 154 87 42;	ohrpn@tymbler.ru;	Одиночка;	26.01.2023;	США;	Калифорния;	Калифорния;	из интернета;	;
294888;	3011;	М;	СМ клиники;	Ковалев;	Николай;	Петрович;	паспорт РФ;	4514;	664468;	17.11.1990;	+7 (952) 861 31 87;	ihxk@tymbler.ru;	Не одиночка;	11.01.2023;	Россия;	Санкт-Петербург, Санкт-Петербург, улица Герцена, дом 15;	СССР;	Телеграм;	;
294507;	112555;	Ж;	СМ клиники;	Петрова;	Елизавета;	Денисовна;	паспорт РФ;	8397;	377271;	11.12.1982;	+7 (999) 383 55 38;	snlvcus@jandex.ru;	Не одиночка;	08.04.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 7;	село Дубки;	Телеграм;	;
294048;	19399;	М;	ДС;	Григорьев;	Антон;	Андреевич;	паспорт РФ;	5488;	222902;	13.09.1990;	+7 (940) 738 11 85;	paaij@gfail.com;	Одиночка;	16.03.2023;	Россия;	Чувашская Республика, Чебоксары, улица Горького, дом 2;	СССР;	Из газеты;	;
294201;	73514;	М;	СМ;	Козлов;	Александр;	Дмитриевич;	паспорт РФ;	1622;	562279;	29.08.1975;	+7 (931) 536 70 10;	girtoy@tymbler.ru;	Одиночка;	03.04.2023;	Россия;	Краснодарский край, Сочи, улица Лермонтова, дом 2а;	Екатеринбург;	Новости;	;
295950;	6172;	Ж;	А/ДЯ;	Тимофеева;	Анастасия;	Павловна;	паспорт РФ;	3560;	348726;	09.11.1997;	+7 (955) 496 12 28;	pcon@jandex.ru;	Одиночка;	27.06.2023;	Россия;	Республика Татарстан, Казань, улица Горького, дом 19;	Киев;	Новости;	;
294276;	31529;	Ж;	А/ДЯ;	Григорьева;	Артемида;	Алексеевна;	паспорт РФ;	5313;	664979;	19.11.1985;	+7 (925) 211 90 72;	uwnexm@gfail.com;	Одиночка;	28.08.2023;	Россия;	Свердловская область, Екатеринбург, улица 8 Марта, дом 33;	Казань;	От врача;	Пальцев М.В.;
