Фамилия;Имя;Отчество;Документ;Серия документа;Номер документа;Дата рождения;Email;Статус пациента;Дата регистрации;Страна;Регион;Город или населенный пункт;Улица;Пол;Место рождения;Откуда узнал;Врач, от которого узнал о клинике
Соколова;Анна;Ивановна;паспорт РФ;5678;901234;14.09.1998;anna@mail.ru;Коммерческий;21.06.2023;Россия;;;;Ж;;Знакомые;
Павлова;Татьяна;Дмитриевна;паспорт РФ;6789;12345;28.03.1993;tanya@mail.ru;Коммерческий;04.01.2023;Россия;;;;М;;Из газеты;
Миронов;Андрей;Васильевич;паспорт РФ;7890;123456;19.07.1986;andrey@mail.ru;ОМС;30.04.2023;Россия;;;;М;;Телевизор;
Ковалев;Ангелина;Андреевна;паспорт РФ;8901;234567;09.02.1997;angel@mail.ru;Коммерческий;15.03.2023;Россия;;Москва;Горошкинская;Ж;Москва;Телевизор;
Сидорова;София;Данииловна;паспорт РФ;1234;56789;03.11.1991;sofia@mail.ru;ОМС;12.12.2023;Россия;;Москва;Горошкинская;Ж;Мурманск;Знакомые;
Иванов;Глеб;Павлович;паспорт РФ;1234;567890;23.05.1984;gleb@mail.ru;Коммерческий;18.10.2023;Россия;;;;М;Севастопль;Знакомые;
Никитина;Алена;Максимовна;паспорт РФ;2345;678901;30.08.1994;alena@mail.ru;ОМС;25.07.2023;Россия;;;Трампистов;М;Киев;Знакомые;
Козлов;Артем;Игоревич;паспорт РФ;3456;789012;17.06.1987;artem@mail.ru;ОМС;05.09.2023;Россия;;;;М;;Знакомые;
Тимофеев;Егор;Артемович;паспорт РФ;4567;890123;11.12.1982;egor@mail.ru;Коммерческий;28.08.2023;Россия;;;;М;;Знакомые;
Григорьева;Валентина;Ивановна;паспорт РФ;5678;901234;26.07.1989;valentina@mail.ru;ОМС;10.03.2023;Россия;;Казань;Брежневская;Ж;Ленинградская область, с. Дубки;из интернета;
